,type,title,author,date,price,sales,review_num,review_score
281,[eBook],왜 세계의 가난은 사라지지 않는가,장 지글러,2019년 02월,10000,558,6,9.0
282,[도서],제4의 식탁,임재양,2018년 11월,12420,510,16,8.6
283,[도서],흙의 학교,기무라 아키노리,2015년 01월,11700,444,5,9.6
284,[도서],식물 심고 그림책 읽으며 아이들과 열두 달,이태용,2021년 11월,16200,420,2,7.0
285,[도서],허수아비 일기,싼마오,2021년 05월,13500,390,18,9.7
286,[도서],"그건, 사랑이었네",한비야,2009년 07월,10800,426,373,9.1
287,[도서],도서관을 떠나는 책들을 위하여,오수완,2020년 04월,11700,468,18,9.1
288,[도서],세계를 발칵 뒤집은 판결 31,L. 레너드 케스터,2014년 05월,18000,342,18,9.4
289,[도서],맛의 천재,알레산드로 마르초 마뇨,2016년 06월,20700,318,9,9.5
290,[도서],오전을 사는 이에게 오후도 미래다,이국환,2019년 09월,13500,1524,8,9.7
291,[도서],매혹하는 식물의 뇌,스테파노 만쿠소,2016년 05월,14400,972,14,9.2
292,[eBook],메트로폴리스,벤 윌슨,2021년 02월,18900,996,2,9.0
293,[도서],카이사르의 마지막 숨,샘 킨,2021년 08월,18000,1140,33,9.8
294,[도서],유전자는 네가 한 일을 알고 있다,이충호,2015년 09월,17100,888,4,7.0
295,[도서],엄마의 죽음은 처음이니까 ,권혁란,2020년 01월,12600,978,5,9.8
296,[도서],보이지 않는 침입자들의 세계,신의철,2021년 03월,15300,912,35,9.8
297,[도서],동물의 무기,더글러스 엠린,2018년 06월,17550,888,22,9.0
298,[eBook],"우리, 이토록 작은 존재들을 위하여",사샤 세이건,2021년 07월,12000,816,0,0
299,[eBook],나는 천국을 보았다,이븐 알렉산더,2016년 08월,7560,720,1,6.0
300,[도서],고규홍의 한국의 나무 특강,고규홍,2012년 11월,20700,750,2,10.0
301,[도서],저도 과학은 어렵습니다만,이정모,2018년 01월,13500,2202,28,8.2
302,[eBook],뉴스의 시대,알랭 드 보통,2014년 10월,11300,504,5,7.8
303,[도서],감정은 패턴이다,랜디 타란,2019년 08월,14400,528,10,9.7
304,[도서],권영민 교수의 문학 콘서트,권영민,2017년 03월,13500,510,0,0
305,[도서],새의 감각,팀 버케드,2015년 02월,18000,468,11,8.8
306,[eBook],소비의 역사,설혜심,2018년 01월,17500,432,3,8.6
307,[도서],"일상, 과학다반사",심혜진,2019년 12월,14220,474,33,9.3
308,[도서],채소의 인문학,정혜경,2017년 06월,15300,480,1,7.0
309,[도서],나는 클림트를 보면 베토벤이 들린다,권순훤,2014년 01월,14400,648,5,8.8
310,[eBook],위장환경주의,카트린 하르트만,2019년 10월,14000,354,0,0
311,[도서],문어의 영혼,사이 몽고메리,2017년 06월,15200,372,4,8.3
312,[도서],식물학자의 식탁,스쥔,2019년 06월,15750,312,35,9.2
313,[도서],방관시대의 사람들,류전윈,2019년 10월,13500,276,0,0
